experiment,dataset_index,dataset,batch_size,floor,rep,greedy_value,pess_value,improvement,beta_cv,T_train,T_eval,K,p
real,0,cmc,10,pure,0,0.4816666666666667,0.4516666666666666,-0.03,0.1,592,600,3,24
real,0,cmc,10,0.5,0,0.5016666666666667,0.5016666666666667,0.0,1.0,592,600,3,24
