experiment,scenario,T,decay,rep,method,beta,value
tree,2,300,pure,0,lin,0.0001,1.3894829029979527
tree,2,300,pure,0,pess,0.001,1.640833759229937
tree,2,300,pure,0,lin,0.001,1.3894829029979527
tree,2,300,pure,0,pess,0.01,1.6274699480679085
tree,2,300,pure,0,lin,0.01,1.3894829029979527
tree,2,300,pure,0,pess,0.1,1.5581721253569671
tree,2,300,pure,0,lin,0.1,1.3894829029979527
tree,2,300,pure,0,pess,0.2,1.667491655487149
tree,2,300,pure,0,lin,0.2,1.3895252454832503
tree,2,300,pure,0,pess,0.5,1.6373974405794678
tree,2,300,pure,0,lin,0.5,1.3895252454832503
tree,2,300,pure,0,pess,1.0,1.637816587854532
tree,2,300,pure,0,lin,1.0,1.389577207429519
tree,2,300,pure,0,pess,5.0,1.6252853754929446
tree,2,300,pure,0,lin,5.0,1.3895604364944665
tree,2,300,pure,0,pess,10.0,1.5034603341513244
tree,2,300,pure,0,lin,10.0,1.2445726791083442
tree,2,600,0.5,0,greedy,0.0,1.5848595196237196
tree,2,600,0.5,0,pess,0.0001,1.587705359825321
tree,2,600,0.5,0,lin,0.0001,1.222189347754069
tree,2,600,0.5,0,pess,0.001,1.5409180344594384
tree,2,600,0.5,0,lin,0.001,1.222189347754069
tree,2,600,0.5,0,pess,0.01,1.6110765542336454
tree,2,600,0.5,0,lin,0.01,1.220628050773043
tree,2,600,0.5,0,pess,0.1,1.4794590142748665
tree,2,600,0.5,0,lin,0.1,1.215192045485062
tree,2,600,0.5,0,pess,0.2,1.5339974588925414
tree,2,600,0.5,0,lin,0.2,1.2118811474812774
tree,2,600,0.5,0,pess,0.5,1.5109228730235391
tree,2,600,0.5,0,lin,0.5,1.2062156262449648
tree,2,600,0.5,0,pess,1.0,1.4223242834281224
tree,2,600,0.5,0,lin,1.0,1.2067992830224152
tree,2,600,0.5,0,pess,5.0,1.5687115820090984
tree,2,600,0.5,0,lin,5.0,1.243687928482617
tree,2,600,0.5,0,pess,10.0,1.3133330929301084
tree,2,600,0.5,0,lin,10.0,1.26330580483803
tree,2,600,pure,0,greedy,0.0,1.737354358250477
tree,2,600,pure,0,pess,0.0001,1.6876335487471348
tree,2,600,pure,0,lin,0.0001,1.343930901753026
tree,2,600,pure,0,pess,0.001,1.6986223157679747
tree,2,600,pure,0,lin,0.001,1.343930901753026
tree,2,600,pure,0,pess,0.01,1.6874236921353174
tree,2,600,pure,0,lin,0.01,1.343930901753026
tree,2,600,pure,0,pess,0.1,1.4610912812965504
tree,2,600,pure,0,lin,0.1,1.343930901753026
tree,2,600,pure,0,pess,0.2,1.4610912812965504
tree,2,600,pure,0,lin,0.2,1.343930901753026
tree,2,600,pure,0,pess,0.5,1.4610912812965504
tree,2,600,pure,0,lin,0.5,1.343930901753026
tree,2,600,pure,0,pess,1.0,1.6250958950315968
tree,2,600,pure,0,lin,1.0,1.343930901753026
tree,2,600,pure,0,pess,5.0,1.6171278685345172
tree,2,600,pure,0,lin,5.0,1.344149623778377
tree,2,600,pure,0,pess,10.0,1.6036804604065902
tree,2,600,pure,0,lin,10.0,1.344804554171516
tree,3,300,0.5,0,greedy,0.0,1.37913322084908
tree,3,300,0.5,0,pess,0.0001,1.236637906569768
tree,3,300,0.5,0,lin,0.0001,1.1714811647123464
tree,3,300,0.5,0,pess,0.001,1.3528648271933623
tree,3,300,0.5,0,lin,0.001,1.1714811647123464
tree,3,300,0.5,0,pess,0.01,1.055660902352871
tree,3,300,0.5,0,lin,0.01,1.1714811647123464
tree,3,300,0.5,0,pess,0.1,0.8438128635226635
tree,3,300,0.5,0,lin,0.1,1.1712343986799514
tree,3,300,0.5,0,pess,0.2,0.8438128635226635
tree,3,300,0.5,0,lin,0.2,1.1712343986799514
tree,3,300,0.5,0,pess,0.5,0.8438128635226635
tree,3,300,0.5,0,lin,0.5,1.1694767700592623
tree,3,300,0.5,0,pess,1.0,0.8648922057235569
tree,3,300,0.5,0,lin,1.0,1.1077136857074574
tree,3,300,0.5,0,pess,5.0,0.8247241665425971
tree,3,300,0.5,0,lin,5.0,0.9084988102089618
tree,3,300,0.5,0,pess,10.0,1.016465138975606
tree,3,300,0.5,0,lin,10.0,0.9194812117415706
tree,3,300,pure,0,greedy,0.0,0.7481175349231114
tree,3,300,pure,0,pess,0.0001,0.7493001792208129
tree,3,300,pure,0,lin,0.0001,0.96486178794477
tree,3,300,pure,0,pess,0.001,0.7429820587946012
tree,3,300,pure,0,lin,0.001,0.96486178794477
tree,3,300,pure,0,pess,0.01,0.7477758064257312
tree,3,300,pure,0,lin,0.01,0.9642988920797022
tree,3,300,pure,0,pess,0.1,0.7421006896203524
tree,3,300,pure,0,lin,0.1,0.9610889422102245
tree,3,300,pure,0,pess,0.2,0.7605741162600576
tree,3,300,pure,0,lin,0.2,0.9612506465780732
tree,3,300,pure,0,pess,0.5,0.7694862881445972
tree,3,300,pure,0,lin,0.5,0.923202156216561
tree,3,300,pure,0,pess,1.0,0.7643612925998257
tree,3,300,pure,0,lin,1.0,0.9032009624408476
tree,3,300,pure,0,pess,5.0,0.7660567775130706
tree,3,300,pure,0,lin,5.0,0.8236101137280509
tree,3,300,pure,0,pess,10.0,0.7773120597191019
tree,3,300,pure,0,lin,10.0,0.7777419793924338
tree,3,600,0.5,0,greedy,0.0,1.2496176455566737
tree,3,600,0.5,0,pess,0.0001,1.2219362512437193
tree,3,600,0.5,0,lin,0.0001,1.3190840542612914
tree,3,600,0.5,0,pess,0.001,1.1937607818970073
tree,3,600,0.5,0,lin,0.001,1.3190735595399246
tree,3,600,0.5,0,pess,0.01,0.8469343649078722
tree,3,600,0.5,0,lin,0.01,1.3190735595399246
tree,3,600,0.5,0,pess,0.1,0.8323447475523105
tree,3,600,0.5,0,lin,0.1,1.320060236214358
tree,3,600,0.5,0,pess,0.2,0.8347714324553285
tree,3,600,0.5,0,lin,0.2,1.3211211763858042
tree,3,600,0.5,0,pess,0.5,0.8337869628744435
tree,3,600,0.5,0,lin,0.5,1.3240685216260677
tree,3,600,0.5,0,pess,1.0,0.8238454289210984
tree,3,600,0.5,0,lin,1.0,1.1957003813928542
tree,3,600,0.5,0,pess,5.0,0.9199413866041588
tree,3,600,0.5,0,lin,5.0,0.9108644075050586
tree,3,600,0.5,0,pess,10.0,0.9128193446338372
tree,3,600,0.5,0,lin,10.0,0.9161859331345062
tree,3,600,pure,0,greedy,0.0,0.7920212907854609
tree,3,600,pure,0,pess,0.0001,0.7950633687901243
tree,3,600,pure,0,lin,0.0001,0.95370723768008
tree,3,600,pure,0,pess,0.001,0.795052259842435
tree,3,600,pure,0,lin,0.001,0.9536147563746622
tree,3,600,pure,0,pess,0.01,0.795052259842435
tree,3,600,pure,0,lin,0.01,0.953345311086298
tree,3,600,pure,0,pess,0.1,0.7938535543476118
tree,3,600,pure,0,lin,0.1,0.9540856843982076
tree,3,600,pure,0,pess,0.2,0.7944099089097633
tree,3,600,pure,0,lin,0.2,0.956417779805554
tree,3,600,pure,0,pess,0.5,0.7984373610589918
tree,3,600,pure,0,lin,0.5,0.9415428474116329
tree,3,600,pure,0,pess,1.0,0.7939553335815813
tree,3,600,pure,0,lin,1.0,0.9091283556378468
tree,3,600,pure,0,pess,5.0,0.8165183742519468
tree,3,600,pure,0,lin,5.0,0.9432069855038284
tree,3,600,pure,0,pess,10.0,0.8109434472147747
tree,3,600,pure,0,lin,10.0,0.9398323428447763
