setting_name,T,method,ours_mean,ours_sd,ours_count,ours_se,paper_mean,paper_se,paper_count,digitization_resolution,source,diff,combined_se,z,ci95_low,ci95_high,p_gt_minus_margin,p_lt_plus_margin,tost_p,equivalent,consistent_by_ci
Optimal,100,greedy,0.04597,0.011506150159436103,1000,0.00036385641603727627,0.0459703875930583,0.0006512103024804,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-3.8759305830138313e-07,0.0007459667214749634,-0.000519584918661002,-0.0014624823671492296,0.0014617071810326268,1.0265788219498972e-11,1.0193008356992173e-11,1.0265788219498972e-11,True,True
Optimal,100,pess_0.1,0.04064,0.017930753244409778,1000,0.0005670202041478873,0.0406401275610398,0.0006512101889952,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.275610398004945e-07,0.0008634735793080619,-0.0001477301018320845,-0.0016925357764836018,0.0016922806544040008,3.5105860440864944e-09,3.5044154851665212e-09,3.5105860440864944e-09,True,True
Optimal,100,pess_0.2,0.03646,0.020666288866061457,1000,0.0006535254359973265,0.036458906024769,0.0006512101889952,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,1.0939752310007433e-06,0.0009225888606235498,0.0011857667891864191,-0.0018071801915911568,0.0018093681420531583,2.9680080171345935e-08,3.007639397373889e-08,3.007639397373889e-08,True,True
Optimal,100,pess_0.5,0.03459,0.021552178460573237,1000,0.0006815397247383288,0.0345899462269488,0.0006512101889952,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,5.377305119930176e-08,0.0009426404970334985,5.704513159420397e-05,-0.0018475216011344577,0.0018476291472368563,5.6551183846842434e-08,5.658655985556392e-08,5.658655985556392e-08,True,True
Optimal,100,pess_1,0.03449,0.02159644198256525,1000,0.0006829394602058859,0.0344888730957786,0.0006512101889952,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,1.1269042214032132e-06,0.0009436530170340531,0.001194193417560543,-0.0018484330091653408,0.0018506868176081472,5.7980061751727874e-08,5.874331882333481e-08,5.874331882333481e-08,True,True
Optimal,100,pess_10,0.034390000000000004,0.021640152406953994,1000,0.000684321705191496,0.0343895735119188,0.0006516534623376,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,4.2648808120521187e-07,0.0009449594865245699,0.0004513294879696652,-0.0018516941055069518,0.0018525470816693622,6.059776336275746e-08,6.089763339560256e-08,6.089763339560256e-08,True,True
Optimal,100,pess_2,0.034390000000000004,0.021640152406953994,1000,0.000684321705191496,0.0343895735119188,0.0006516534623376,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,4.2648808120521187e-07,0.0009449594865245699,0.0004513294879696652,-0.0018516941055069518,0.0018525470816693622,6.059776336275746e-08,6.089763339560256e-08,6.089763339560256e-08,True,True
Optimal,100,pess_5,0.034390000000000004,0.021640152406953994,1000,0.000684321705191496,0.0343895735119188,0.0006516534623376,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,4.2648808120521187e-07,0.0009449594865245699,0.0004513294879696652,-0.0018516941055069518,0.0018525470816693622,6.059776336275746e-08,6.089763339560256e-08,6.089763339560256e-08,True,True
Optimal,500,greedy,0.046079999999999996,0.015220554039366152,1000,0.0004813161801407317,0.0460785530977061,0.000662736090293,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,1.4469022938945475e-06,0.000819075326598303,0.0017665069950326413,-0.0016039407378387793,0.0016068345424265684,5.101200573065512e-10,5.215287382819423e-10,5.215287382819423e-10,True,True
Optimal,500,pess_0.1,0.0288,0.025294264167984786,1000,0.0007998748650881581,0.0288021990534037,0.000662736090293,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-2.199053403699469e-06,0.0010387583574521316,-0.0021170018878050824,-0.0020381654340098773,0.0020337673272024783,7.496761273984021e-07,7.339528996335886e-07,7.496761273984021e-07,True,True
Optimal,500,pess_0.2,0.01433,0.02311028310482556,1000,0.000730811319825566,0.014329284478861,0.000662736090293,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,7.155211390000998e-07,0.0009865618635250591,0.0007252673810474382,-0.0019329457313701157,0.0019343767736481159,2.0013303725363585e-07,2.0166363417533015e-07,2.0166363417533015e-07,True,True
Optimal,500,pess_0.5,0.003,0.011846532840470256,1000,0.0003746202615187015,0.0030002659980509,0.0006627359768077,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-2.659980508998988e-07,0.000761287931925626,-0.00034940531662845995,-0.0014923903446251267,0.001491858348523327,2.5589086405375383e-11,2.5469259216981956e-11,2.5589086405375383e-11,True,True
Optimal,500,pess_1,0.0016799999999999999,0.00895867500570581,1000,0.0002832981783525231,0.0016792270048293,0.000662736090293,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,7.729951706997654e-07,0.0007207475169813001,0.0010724909243354645,-0.0014118921381126484,0.001413438128454048,1.9840795673076173e-12,2.0143697567737815e-12,2.0143697567737815e-12,True,True
Optimal,500,pess_10,0.00121,0.007674294416739228,1000,0.00024268249791609383,0.0012111003952043,0.0006627359768077,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.1003952043000306e-06,0.0007057717547125636,-0.001559137493038643,-0.0013844130344409246,0.0013822122440323246,7.058797990566745e-13,6.902067527765592e-13,7.058797990566745e-13,True,True
Optimal,500,pess_2,0.00121,0.007674294416739228,1000,0.00024268249791609383,0.0012111003952043,0.0006627359768077,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.1003952043000306e-06,0.0007057717547125636,-0.001559137493038643,-0.0013844130344409246,0.0013822122440323246,7.058797990566745e-13,6.902067527765592e-13,7.058797990566745e-13,True,True
Optimal,500,pess_5,0.00121,0.007674294416739228,1000,0.00024268249791609383,0.0012111003952043,0.0006627359768077,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.1003952043000306e-06,0.0007057717547125636,-0.001559137493038643,-0.0013844130344409246,0.0013822122440323246,7.058797990566745e-13,6.902067527765592e-13,7.058797990566745e-13,True,True
Optimal,1000,greedy,0.04580000000000001,0.015646239318277255,1000,0.000494777530618363,0.0458019328283822,0.0006254986328603,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.932828382192331e-06,0.0007975295257950702,-0.0024235195308480433,-0.00156509069894053,0.0015612250421761452,1.8410972746352172e-10,1.7846739221301702e-10,1.8410972746352172e-10,True,True
Optimal,1000,pess_0.1,0.027780000000000003,0.025458195531492794,1000,0.0008050588299743812,0.027780831905131,0.0006263852930302,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-8.319051309976788e-07,0.0010200383595945052,-0.0008155625944580998,-0.002000107089936228,0.0019984432796742325,4.768452406267443e-07,4.7290146508556565e-07,4.768452406267443e-07,True,True
Optimal,1000,pess_0.2,0.01046,0.020430511638375712,1000,0.0006460695053984559,0.0104619204423763,0.0006250554730032,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.9204423762995276e-06,0.0008989439082262361,-0.0021363317096045244,-0.0017638505024997224,0.0017600096177471233,1.3492909123336005e-08,1.3166481706359518e-08,1.3492909123336005e-08,True,True
Optimal,1000,pess_0.5,0.00047999999999999996,0.004836630334540049,1000,0.00015294768057408712,0.0004805387171517,0.0006263852930302,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-5.387171517000182e-07,0.0006447879715980459,-0.0008354950393458159,-0.00126432314148387,0.0012632457071804699,4.440892098500626e-15,4.405959649580372e-15,4.440892098500626e-15,True,True
Optimal,1000,pess_1,5e-05,0.0015811388300841914,1000,5.0000000000000057e-05,4.964979192992168e-05,0.000625055359518,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,3.502080700783195e-07,0.0006270519934281178,0.000558499253249668,-0.0012286716990490324,0.0012293721151891892,7.771561172376096e-16,7.727007399929472e-16,7.771561172376096e-16,True,True
Optimal,1000,pess_10,5e-05,0.0015811388300841914,1000,5.0000000000000057e-05,4.964979192992168e-05,0.000625055359518,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,3.502080700783195e-07,0.0006270519934281178,0.000558499253249668,-0.0012286716990490324,0.0012293721151891892,7.771561172376096e-16,7.727007399929472e-16,7.771561172376096e-16,True,True
Optimal,1000,pess_2,5e-05,0.0015811388300841914,1000,5.0000000000000057e-05,4.964979192992168e-05,0.000625055359518,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,3.502080700783195e-07,0.0006270519934281178,0.000558499253249668,-0.0012286716990490324,0.0012293721151891892,7.771561172376096e-16,7.727007399929472e-16,7.771561172376096e-16,True,True
Optimal,1000,pess_5,5e-05,0.0015811388300841914,1000,5.0000000000000057e-05,4.964979192992168e-05,0.000625055359518,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,3.502080700783195e-07,0.0006270519934281178,0.000558499253249668,-0.0012286716990490324,0.0012293721151891892,7.771561172376096e-16,7.727007399929472e-16,7.771561172376096e-16,True,True
Optimal,2000,greedy,0.045660000000000006,0.015453258659687377,1000,0.0004886749463633294,0.0456618493733804,0.0006130861848778,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.8493733803942591e-06,0.0007840139496789703,-0.0023588526468840522,-0.001538516714751176,0.0015348179679903875,9.143452661675155e-11,8.866178575172376e-11,9.143452661675155e-11,True,True
Optimal,2000,pess_0.1,0.02637,0.02517850386851964,1000,0.0007962142029988278,0.0263693587948966,0.0006130861848778,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,6.412051034021538e-07,0.0010049038397503885,0.0006380760805545583,-0.0019689703208073594,0.0019702527310141637,3.241587478441943e-07,3.2630156878243946e-07,3.2630156878243946e-07,True,True
Optimal,2000,pess_0.2,0.00899,0.019345649489075165,1000,0.0006117631520075022,0.008991931619424,0.0006126429115355,1000,0.0004539409547878,arXiv:2212.09900 Figure 4 vector PDF,-1.9316194240000945e-06,0.0008657860539468447,-0.0022310586029821717,-0.0016988722851598156,0.0016950090463118154,3.896680644821515e-09,3.794770247829169e-09,3.896680644821515e-09,True,True
