figure,dataset_index_paper,dataset,batch_size,floor,paper_improvement,point_color,source
10,6,mfeat-morphological,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,7,satellite_image,10,0.8,0.04000157388319919,positive,arXiv:2212.09900 Figure 10 vector PDF
10,8,jungle_chess_2pcs_endgame_elephant_elephant,10,0.8,-0.011808800967247068,negative,arXiv:2212.09900 Figure 10 vector PDF
10,9,wilt,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,10,Satellite,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,11,ringnorm,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,12,mammography,10,0.8,-0.02917661376663455,negative,arXiv:2212.09900 Figure 10 vector PDF
10,13,delta_ailerons,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,14,PhishingWebsites,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,15,splice,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,16,pendigits,10,0.8,0.03503493469900487,positive,arXiv:2212.09900 Figure 10 vector PDF
10,17,texture,10,0.8,0.06985539469046781,positive,arXiv:2212.09900 Figure 10 vector PDF
10,18,cardiotocography,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,19,volcanoes-d4,10,0.8,0.24391141865043037,positive,arXiv:2212.09900 Figure 10 vector PDF
10,20,volcanoes-b3,10,0.8,0.008767275652986406,positive,arXiv:2212.09900 Figure 10 vector PDF
10,21,dis,10,0.8,0.0030911165853357847,positive,arXiv:2212.09900 Figure 10 vector PDF
10,22,optdigits,10,0.8,0.004232518136982888,positive,arXiv:2212.09900 Figure 10 vector PDF
10,23,electricity,10,0.8,0.00521967623570474,positive,arXiv:2212.09900 Figure 10 vector PDF
10,24,kr-vs-kp,10,0.8,-0.010520869616058082,negative,arXiv:2212.09900 Figure 10 vector PDF
10,25,bank-marketing,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,26,satimage,10,0.8,0.0012247698177816901,positive,arXiv:2212.09900 Figure 10 vector PDF
10,27,MagicTelescope,10,0.8,0.015523136916797853,positive,arXiv:2212.09900 Figure 10 vector PDF
10,28,houses,10,0.8,0.004895763997403546,positive,arXiv:2212.09900 Figure 10 vector PDF
10,29,eeg-eye-state,10,0.8,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,30,car,10,0.8,0.02085996236232901,positive,arXiv:2212.09900 Figure 10 vector PDF
10,1,Long,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,2,cmc,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,3,artificial-characters,10,pure,0.01484446769824277,positive,arXiv:2212.09900 Figure 10 vector PDF
10,4,Click_prediction_small,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,5,allrep,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,6,mfeat-morphological,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,7,satellite_image,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,8,jungle_chess_2pcs_endgame_elephant_elephant,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,9,wilt,10,pure,-0.015233005622188489,negative,arXiv:2212.09900 Figure 10 vector PDF
10,10,Satellite,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,11,ringnorm,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,12,mammography,10,pure,-0.011885923680867827,negative,arXiv:2212.09900 Figure 10 vector PDF
10,13,delta_ailerons,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,14,PhishingWebsites,10,pure,0.0011168003878920807,positive,arXiv:2212.09900 Figure 10 vector PDF
10,15,splice,10,pure,-0.028544216596798955,negative,arXiv:2212.09900 Figure 10 vector PDF
10,16,pendigits,10,pure,0.032536190761615236,positive,arXiv:2212.09900 Figure 10 vector PDF
10,17,texture,10,pure,0.02109132655455881,positive,arXiv:2212.09900 Figure 10 vector PDF
10,18,cardiotocography,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,19,volcanoes-d4,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,20,volcanoes-b3,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,21,dis,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,22,optdigits,10,pure,0.0010705263648563834,positive,arXiv:2212.09900 Figure 10 vector PDF
10,23,electricity,10,pure,0.0034767242304908907,positive,arXiv:2212.09900 Figure 10 vector PDF
10,24,kr-vs-kp,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,25,bank-marketing,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,26,satimage,10,pure,0.0021039584866139327,positive,arXiv:2212.09900 Figure 10 vector PDF
10,27,MagicTelescope,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,28,houses,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,30,car,10,pure,6.247526830038819e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,1,Long,100,0.2,0.02143779607498872,positive,arXiv:2212.09900 Figure 10 vector PDF
10,4,Click_prediction_small,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,5,allrep,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,6,mfeat-morphological,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,9,wilt,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,10,Satellite,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,12,mammography,100,0.2,0.04054771696727688,positive,arXiv:2212.09900 Figure 10 vector PDF
10,13,delta_ailerons,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,14,PhishingWebsites,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,15,splice,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,16,pendigits,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,18,cardiotocography,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,20,volcanoes-b3,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,21,dis,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,22,optdigits,100,0.2,-0.014854090450652654,negative,arXiv:2212.09900 Figure 10 vector PDF
10,23,electricity,100,0.2,-0.018247294944114006,negative,arXiv:2212.09900 Figure 10 vector PDF
10,24,kr-vs-kp,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,25,bank-marketing,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,26,satimage,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,29,eeg-eye-state,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,30,car,100,0.2,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,1,Long,100,0.5,0.016054937711085127,positive,arXiv:2212.09900 Figure 10 vector PDF
10,2,cmc,100,0.5,0.046069391284384364,positive,arXiv:2212.09900 Figure 10 vector PDF
10,3,artificial-characters,100,0.5,0.04224432217535137,positive,arXiv:2212.09900 Figure 10 vector PDF
10,4,Click_prediction_small,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,6,mfeat-morphological,100,0.5,0.007417684884236414,positive,arXiv:2212.09900 Figure 10 vector PDF
10,7,satellite_image,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,8,jungle_chess_2pcs_endgame_elephant_elephant,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,9,wilt,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,10,Satellite,100,0.5,0.003314989791483286,positive,arXiv:2212.09900 Figure 10 vector PDF
10,11,ringnorm,100,0.5,-0.013157485242578162,negative,arXiv:2212.09900 Figure 10 vector PDF
10,13,delta_ailerons,100,0.5,0.006075826950037028,positive,arXiv:2212.09900 Figure 10 vector PDF
10,14,PhishingWebsites,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,15,splice,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,16,pendigits,100,0.5,0.00627633361783142,positive,arXiv:2212.09900 Figure 10 vector PDF
10,17,texture,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,18,cardiotocography,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,19,volcanoes-d4,100,0.5,-0.018763988240706006,negative,arXiv:2212.09900 Figure 10 vector PDF
10,20,volcanoes-b3,100,0.5,0.0046105777155106,positive,arXiv:2212.09900 Figure 10 vector PDF
10,21,dis,100,0.5,0.005397183682269713,positive,arXiv:2212.09900 Figure 10 vector PDF
10,22,optdigits,100,0.5,0.0010631326159685206,positive,arXiv:2212.09900 Figure 10 vector PDF
10,23,electricity,100,0.5,0.01650222303107518,positive,arXiv:2212.09900 Figure 10 vector PDF
10,24,kr-vs-kp,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,25,bank-marketing,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,26,satimage,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,27,MagicTelescope,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,28,houses,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,29,eeg-eye-state,100,0.5,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,30,car,100,0.5,-0.01619594838485204,negative,arXiv:2212.09900 Figure 10 vector PDF
10,1,Long,100,0.8,0.01159749731868609,positive,arXiv:2212.09900 Figure 10 vector PDF
10,2,cmc,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,3,artificial-characters,100,0.8,0.0755054568980427,positive,arXiv:2212.09900 Figure 10 vector PDF
10,4,Click_prediction_small,100,0.8,-8.810673834541705e-06,zero,arXiv:2212.09900 Figure 10 vector PDF
10,5,allrep,100,0.8,-0.021131521428765593,negative,arXiv:2212.09900 Figure 10 vector PDF
10,6,mfeat-morphological,100,0.8,0.011674614660382637,positive,arXiv:2212.09900 Figure 10 vector PDF
10,7,satellite_image,100,0.8,0.05598680738238354,positive,arXiv:2212.09900 Figure 10 vector PDF
