figure,T,method,beta,paper_mean,paper_se,source,setting,batch_size,floor
9,500,greedy,0.0,1.5107747633942483,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,greedy,0.0,1.6132398637353038,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,greedy,0.0,1.661093970882163,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,greedy,0.0,1.7074085356198911,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,pess,0.1,1.6067395735634171,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,pess,0.1,1.7122623720838281,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,pess,0.1,1.7572084601540352,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,pess,0.1,1.8082271822529972,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,pess,0.2,1.5976947605412901,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,pess,0.2,1.7076223636914571,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,pess,0.2,1.7502591381479675,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,pess,0.2,1.8006791493100451,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,pess,0.5,1.5521071992042428,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,pess,0.5,1.6798678325232137,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,pess,0.5,1.7253484825614422,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,pess,0.5,1.7840863033449659,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,pess,1.0,1.484730834902817,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,pess,1.0,1.6219425507481398,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,pess,1.0,1.691029517726378,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,pess,1.0,1.7618698497113843,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,pess,5.0,1.44059728584106,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,pess,5.0,1.565407132279494,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,pess,5.0,1.6157629999466376,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,pess,5.0,1.6788200897521481,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,pess,10.0,1.423298817640278,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,pess,10.0,1.5428057957805938,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,pess,10.0,1.6106311919162009,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,pess,10.0,1.6641516745354472,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,CV_pess,,1.518814595975266,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,1000,CV_pess,,1.6674445819513466,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,2000,CV_pess,,1.7216279244763397,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,5000,CV_pess,,1.7846422519518943,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.2
9,500,greedy,0.0,1.526811660752399,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,1000,greedy,0.0,1.6084929385701854,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,2000,greedy,0.0,1.5863620150704445,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,5000,greedy,0.0,1.5698333180742279,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,500,pess,0.1,1.6558980138828636,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,1000,pess,0.1,1.776153382062767,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,2000,pess,0.1,1.8380558177983934,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,5000,pess,0.1,1.8825742497254687,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,500,pess,0.2,1.6599393168122791,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
9,1000,pess,0.2,1.7782916354087823,0.0,arXiv:2212.09900 Figure 9 vector PDF,2,10,0.5
