figure,T,method,beta,paper_mean,paper_se,source,setting,batch_size,floor
8,500,greedy,0.0,1.4705150444444448,0.003125000000000003,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,greedy,0.0,1.5630208370370373,0.002206307407407411,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,greedy,0.0,1.61918402962963,0.0019241888888888933,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,greedy,0.0,1.6899884222222228,0.00142505740740741,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,0.001,1.492071755555556,0.009295427777777789,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,0.001,1.5698495333333338,0.006445312962962969,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,0.001,1.6288773111111117,0.005497685185185191,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,0.001,1.7012442148148152,0.004116029629629635,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,0.01,1.4845196740740745,0.008760125925925939,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,0.01,1.5865162000000004,0.006575522222222226,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,0.01,1.6480613407407412,0.005331307407407415,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,0.01,1.709403933333334,0.004000288888888894,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,0.1,1.4421296296296298,0.008275462962962972,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,0.1,1.555034718518519,0.007371238888888896,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,0.1,1.602893518518519,0.006814237037037042,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,0.1,1.6599826370370376,0.005533853703703711,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,0.2,1.4347222222222225,0.008629918518518529,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,0.2,1.5493344888888894,0.0072048629629629666,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,0.2,1.5970196740740745,0.006893809259259263,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,0.2,1.649710644444445,0.005447050000000003,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,0.5,1.4202835629629633,0.008297162962962975,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,0.5,1.5395544000000003,0.006980612962962972,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,0.5,1.583391207407408,0.007219329629629635,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,0.5,1.647106481481482,0.0054470481481481555,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,1.0,1.4131944444444446,0.008926505555555563,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,1.0,1.532146992592593,0.007074653703703709,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,1.0,1.582146992592593,0.007002314814814822,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,1.0,1.642447918518519,0.005273437037037044,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,5.0,1.4077835629629631,0.008702257407407417,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,5.0,1.5162905111111113,0.008058450000000007,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,5.0,1.5706597259259263,0.007515914814814822,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,5.0,1.6343750000000006,0.005555555555555562,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,pess,10.0,1.3865162000000002,0.009425637037037046,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,1000,pess,10.0,1.5155381925925928,0.007978877777777785,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,2000,pess,10.0,1.573697918518519,0.007646124074074079,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,5000,pess,10.0,1.6355613407407412,0.005758103703703705,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.2
8,500,greedy,0.0,1.4609664370370372,0.0038483777777777867,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,1000,greedy,0.0,1.5314814814814819,0.0033203129629629656,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,2000,greedy,0.0,1.5067418962962966,0.003428820370370372,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,5000,greedy,0.0,1.5099247703703707,0.0032913777777777804,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,500,pess,0.001,1.5162037037037042,0.009874131481481493,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,1000,pess,0.001,1.6453414370370376,0.007667824074074082,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,2000,pess,0.001,1.7110243037037043,0.006720196296296305,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,5000,pess,0.001,1.760821755555556,0.005866609259259264,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,500,pess,0.01,1.5306712962962967,0.010315392592592607,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,1000,pess,0.01,1.6591724518518522,0.007798031481481492,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,2000,pess,0.01,1.7217592592592599,0.0070167814814814915,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,5000,pess,0.01,1.7591145851851857,0.0059244777777777875,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,500,pess,0.1,1.536660881481482,0.00922309074074075,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,1000,pess,0.1,1.6579861111111116,0.008239292592592606,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
8,2000,pess,0.1,1.7145833333333338,0.0073640055555555615,arXiv:2212.09900 Figure 8 vector PDF,3,10,0.5
