figure,T,method,beta,paper_mean,paper_se,source,setting,batch_size,floor
7,1000,pess,1.0,1.7759461209166751,0.005315908127542296,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,2000,pess,1.0,1.8336754343761448,0.004273574327489661,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,5000,pess,1.0,1.8749839653404763,0.003920784078570679,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,500,pess,5.0,1.491533036606354,0.0097899288943523,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,1000,pess,5.0,1.6846375880756823,0.008699486306784538,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,2000,pess,5.0,1.7976266853047869,0.006422385609216563,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,5000,pess,5.0,1.8517318828052325,0.004602308130053272,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,500,pess,10.0,1.49836433664646,0.010607761861327026,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,1000,pess,10.0,1.6549390675900622,0.00905227655570352,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,2000,pess,10.0,1.7575689581846747,0.0075529195372462015,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,5000,pess,10.0,1.819146892541443,0.005436178043732309,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.5
7,500,greedy,0.0,1.5759461216204231,0.004025017048056381,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,1000,greedy,0.0,1.692944196898282,0.003383578179242243,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,2000,greedy,0.0,1.7506735103577515,0.0025657472648653243,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,5000,greedy,0.0,1.8180564458486792,0.0026619627872977738,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,500,pess,0.1,1.6453175071364257,0.007697241794595973,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,1000,pess,0.1,1.7729955115620797,0.004890954697350621,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,2000,pess,0.1,1.8476266871814477,0.0037123160870014675,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,5000,pess,0.1,1.9159397040032915,0.0022370114097039063,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,500,pess,0.2,1.6655227709524358,0.006839321592354985,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,1000,pess,0.2,1.7745670297092122,0.005067350848109015,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,2000,pess,0.2,1.8474663218196001,0.0033915956262954954,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,5000,pess,0.2,1.9170942902724808,0.0022370093571060993,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,500,pess,0.5,1.666581139646595,0.007697241794595973,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,1000,pess,0.5,1.7797305940271557,0.005035279007298199,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,2000,pess,0.5,1.8493585624800364,0.0036802442461906512,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,5000,pess,0.5,1.9164207836680514,0.0023011530387277326,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,500,pess,1.0,1.6267799872529696,0.008434894133244754,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,1000,pess,1.0,1.7789929396359092,0.005355997415406364,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,2000,pess,1.0,1.8469852421548403,0.003576011276704949,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,5000,pess,1.0,1.9133098171620002,0.002421425007515553,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
7,500,pess,5.0,1.5150416938680844,0.011329377253271496,arXiv:2212.09900 Figure 7 vector PDF,2,10,0.8
