setting_name,T,method,paper_mean,paper_se,paper_count,digitization_resolution,source
Optimal,10000,pess_2,0.0,0.0006059934709445502,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,20000,pess_2,0.0,0.0006192924656117314,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,100,pess_5,0.03438957351191885,0.0006516534623376029,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,500,pess_5,0.0012111003952043995,0.0006627359768077936,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,1000,pess_5,4.964979192992168e-05,0.000625055359518002,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,2000,pess_5,0.0,0.0006130862983631104,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,5000,pess_5,0.0,0.0006139728450478112,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,10000,pess_5,0.0,0.0006059934709445502,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,20000,pess_5,0.0,0.0006192924656117314,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,100,pess_10,0.03438957351191885,0.0006516534623376029,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,500,pess_10,0.0012111003952043995,0.0006627359768077936,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,1000,pess_10,4.964979192992168e-05,0.000625055359518002,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,2000,pess_10,0.0,0.0006130862983631104,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,5000,pess_10,0.0,0.0006139728450478112,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,10000,pess_10,0.0,0.0006059934709445502,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Optimal,20000,pess_10,0.0,0.0006192924656117314,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,greedy,0.04469013247097867,0.0007287880172570647,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,greedy,0.0378898840699488,0.0005004876063508473,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,greedy,0.0398918344953522,0.0004831988111467972,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,greedy,0.039060200594011246,0.0004676833362826255,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,greedy,0.03963294606760427,0.000477879190582877,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,greedy,0.03817182361938086,0.0004698998164796159,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,greedy,0.03995035020807008,0.00048585867817137646,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,pess_0.1,0.03753169605834104,0.0007283447439147144,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,pess_0.1,0.025528858972767708,0.0005004877198360858,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,pess_0.1,0.02648284403359358,0.000483642197974386,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,pess_0.1,0.024012766998565218,0.00046856988296732627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,pess_0.1,0.02525223870344386,0.0004774359172405266,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,pess_0.1,0.025152939119584015,0.0004694565431372655,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,pess_0.1,0.025860448768070636,0.00048452885814432526,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,pess_0.2,0.032910719222119515,0.0007283447439147144,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,pess_0.2,0.017762212949444245,0.0005004876063508473,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,pess_0.2,0.01570174635738202,0.000483642197974386,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,pess_0.2,0.014951680198324987,0.0004690132697949151,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,pess_0.2,0.015129000883788993,0.0004778793040681154,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,pess_0.2,0.013639507125891343,0.0004698998164796159,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,pess_0.2,0.01441262531451441,0.00048452874465908685,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,pess_0.5,0.030172887838555262,0.0007274581972300135,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,pess_0.5,0.011162336809503463,0.0005004876063508473,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,pess_0.5,0.010089546775931464,0.000483642197974386,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,pess_0.5,0.0100079794875885,0.00046856988296732627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,pess_0.5,0.010071814934355541,0.000477879190582877,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,pess_0.5,0.01002216514242562,0.0004698998164796159,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,pess_0.5,0.009990247192071621,0.00048452874465908685,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,pess_1,0.029850163964040295,0.0007287880172570647,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,pess_1,0.01048142537732168,0.0004996009461809081,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,pess_1,0.009999113112859583,0.000483642197974386,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,pess_1,0.009999113112859583,0.00046856988296732627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,pess_1,0.009999113112859583,0.000477436030725765,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,pess_1,0.009999113112859583,0.0004698998164796159,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,pess_1,0.009999113112859583,0.00048452885814432526,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,pess_2,0.029818246467627253,0.0007274580837447751,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,pess_2,0.010380352700092434,0.0004991576728385577,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,pess_2,0.009999113112859583,0.000483642197974386,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,pess_2,0.009999113112859583,0.00046856988296732627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,pess_2,0.009999113112859583,0.000477436030725765,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,pess_2,0.009999113112859583,0.0004698998164796159,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,pess_2,0.009999113112859583,0.00048452885814432526,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,pess_5,0.02979164825132241,0.0007287879037718263,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,pess_5,0.010380352700092434,0.0004991576728385577,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,pess_5,0.009999113112859583,0.000483642197974386,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,pess_5,0.009999113112859583,0.00046856988296732627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,pess_5,0.009999113112859583,0.000477436030725765,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,pess_5,0.009999113112859583,0.0004698998164796159,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,pess_5,0.009999113112859583,0.00048452885814432526,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,100,pess_10,0.02979164825132241,0.0007287879037718263,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,500,pess_10,0.010380352700092434,0.0004991576728385577,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,1000,pess_10,0.009999113112859583,0.000483642197974386,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,2000,pess_10,0.009999113112859583,0.00046856988296732627,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,5000,pess_10,0.009999113112859583,0.000477436030725765,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,10000,pess_10,0.009999113112859583,0.0004698998164796159,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Suboptimal,20000,pess_10,0.009999113112859583,0.00048452885814432526,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,greedy,0.031048851797776975,0.0006933238801642636,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,greedy,0.03138044159307991,0.0006888909197702826,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,greedy,0.03073144811125212,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,2000,greedy,0.029609007831809246,0.0006977568405582444,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,5000,greedy,0.03128114200922006,0.0006919939466519738,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,10000,greedy,0.03019948560091915,0.0006875608727727545,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,20000,greedy,0.030713715815735242,0.0006977568405582444,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,100,pess_0.1,0.031290007930008024,0.0006933238801642636,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,500,pess_0.1,0.03145314296063491,0.0006884475329426938,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
Uniform,1000,pess_0.1,0.030722581736523206,0.0006990867740705341,1000,0.0004539409547878554,arXiv:2212.09900 Figure 4 vector PDF
