figure,T,method,beta,paper_mean,paper_se,source,scenario,decay
5,5000,lin,0.5,1.3346531712584317,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,lin,1.0,1.2690349089319675,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,lin,1.0,1.3310637958325051,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,lin,1.0,1.329044772155422,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,lin,1.0,1.3323537312155729,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,lin,5.0,1.330502963100955,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,lin,5.0,1.3289326113521125,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,lin,5.0,1.3307833794667303,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,lin,5.0,1.337513458390342,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,lin,10.0,1.3354944347132585,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,1000,lin,10.0,1.3287643557896467,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,2000,lin,10.0,1.3244458920697046,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,5000,lin,10.0,1.3344849300534674,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.2
5,500,greedy,0.0,1.5563531842110345,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,greedy,0.0,1.5323492504076541,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,greedy,0.0,1.5211324522016345,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,greedy,0.0,1.5494548640824588,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,pess,0.1,1.9433888170778686,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,pess,0.1,1.906205127435538,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,pess,0.1,1.8745176760929079,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,pess,0.1,1.829706563670484,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,pess,0.2,1.94142587380244,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,pess,0.2,1.9060929666322286,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,pess,0.2,1.872330396853359,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,pess,0.2,1.826397604610333,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,pess,0.5,1.9433888170778686,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,pess,0.5,1.9100749192272395,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,pess,0.5,1.8733399158706514,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,pess,0.5,1.827519284430935,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,pess,1.0,1.940248113580183,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,pess,1.0,1.9097945028614642,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,pess,1.0,1.8677315024101397,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,pess,1.0,1.8222473964528563,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,pess,5.0,1.9389581781971157,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,pess,5.0,1.906653799363779,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,pess,5.0,1.869638365283914,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,pess,5.0,1.8298187388312952,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,pess,10.0,1.9422671372572666,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,pess,10.0,1.9087849982016736,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,pess,10.0,1.870479628738741,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,pess,10.0,1.8309964990535517,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,0.0001,1.1136822465998444,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,0.0001,1.1844602504585793,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,0.0001,1.2189518941739634,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,0.0001,1.301900120496854,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,0.001,1.1132335746716038,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,0.001,1.1887787141785213,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,0.001,1.22484072400025,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,5000,lin,0.001,1.3064990149400733,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,500,lin,0.01,1.111270631396175,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,1000,lin,0.01,1.191919417676207,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
5,2000,lin,0.01,1.2200735883520673,0.0,arXiv:2212.09900 Figure 5 vector PDF,1,0.4
