figure,T,method,beta,paper_mean,paper_se,source,setting,batch_size,floor
6,500,greedy,0.0,1.6695131451541565,0.003270590304508225,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,1000,greedy,0.0,1.7057794243184377,0.002884189787916853,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,2000,greedy,0.0,1.7410245156177409,0.0026288928216723424,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,5000,greedy,0.0,1.8188838620160601,0.0020147934831705413,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,500,pess,0.1,1.8902572346923967,0.005775280878311508,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,1000,pess,0.1,1.9036155844193479,0.006127180181696714,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,2000,pess,0.1,1.9136343537801381,0.004326286448269562,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,5000,pess,0.1,1.9508114352976382,0.0035672880200424218,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,500,pess,0.2,1.895915214625317,0.006272079271422052,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,1000,pess,0.2,1.9014075915610786,0.005720082823249063,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,2000,pess,0.2,1.910184366705487,0.004747184645278535,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,5000,pess,0.2,1.9505078345132318,0.0033533882702990337,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,500,pess,0.5,1.8833296553331835,0.005920181734431129,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,1000,pess,0.5,1.8997239987730428,0.005278482485200964,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,2000,pess,0.5,1.907286377845403,0.004754085947756338,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
6,5000,pess,0.5,1.9465610525782586,0.0032843893766752656,arXiv:2212.09900 Figure 6 vector PDF,1,10,0.2
